OTUID	LF-1.fq	LF-6.fq	B80-1.fq	B80-4.fq	LF-2.fq	LF-3.fq	B80-5.fq	B80-6.fq	B80-2.fq	LF-4.fq	LF-5.fq	B80-3.fq
807538	7	3	3	5	1	10	2	1	4	5	3	0
829851	3	3	2	0	3	2	3	1	1	1	2	1
4319571	6	0	1	3	1	0	1	1	2	0	3	1
1096572	31	26	20	15	9	44	6	20	23	26	16	10
269768	10	28	19	19	6	26	8	6	33	31	15	12
939295	2	0	0	0	1	0	2	0	0	0	0	0
919466	9	15	12	13	6	54	14	7	22	35	18	46
1098922	2	6	3	2	0	5	0	2	4	4	3	2
1140307	1	3	2	0	1	1	4	1	2	0	0	1
361372	27	81	29	94	58	23	38	56	26	30	63	31
589110	18	8	10	11	4	9	28	6	24	2	4	1
2340297	4	1	3	3	1	3	6	0	2	4	0	0
198952	19	17	5	9	0	8	3	7	4	15	3	11
352247	10	4	18	4	1	9	3	6	3	7	8	3
112960	8	6	2	3	5	1	2	1	4	5	7	7
4139697	14	8	2	8	6	18	2	4	1	10	5	6
246691	76	161	158	159	74	166	270	180	187	189	251	215
129048	72	16	8	16	14	48	1	2	0	72	100	1
4357881	41	80	30	48	61	63	56	59	43	52	70	54
578761	26	12	9	4	12	24	7	8	8	7	4	4
3876673	14	18	16	19	12	31	6	12	16	24	7	12
930055	40	77	30	84	51	125	44	44	62	67	77	42
137981	2	4	8	7	9	10	15	4	12	11	8	4
4091432	2	1	2	0	1	0	0	0	0	0	0	0
688327	11	14	4	10	1	17	3	6	2	8	12	9
82007	7	6	4	1	2	8	3	0	4	2	2	5
308787	7	9	7	6	14	9	15	13	6	3	4	12
136268	29	55	29	50	28	78	38	18	28	53	48	33
1854	4	3	3	9	5	7	11	4	7	7	6	2
238109	56	22	43	77	8	19	57	41	50	12	9	45
717396	51	72	22	62	35	84	43	60	44	103	71	23
581763	52	27	21	42	15	45	20	13	20	18	13	26
4298052	1	0	0	0	0	0	0	0	1	0	2	0
1135415	1	0	0	0	0	1	0	0	1	0	0	0
253754	11	3	8	3	2	2	3	4	3	4	2	1
3509162	38	193	43	74	58	206	147	94	59	132	219	98
511937	11	3	3	5	5	11	1	3	4	7	10	3
675804	5	1	0	7	0	1	6	2	0	1	1	0
139220	36	39	23	32	25	36	18	39	34	30	35	41
110461	6	12	8	8	4	10	16	8	14	16	14	9
565993	2	1	1	0	1	1	2	1	2	0	4	10
3934283	3	5	1	1	0	2	1	2	2	0	1	1
821747	1	0	1	0	1	1	0	0	1	3	1	1
220011	26	29	11	14	17	23	10	12	9	14	28	21
4382894	2	2	1	2	1	1	1	3	0	0	0	1
216191	5	10	8	10	12	21	23	11	10	19	4	12
