	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	id
171	36614.2235	34250.796	38977.651	260798.142	259105.752	262610.115	24089.011	23736.063	27638.718	32501.18	29059.637	30182.918	"2,3-Dihydroxypyridine"
172	0	0	0	13398.548	11955.114	10511.68	0	0	0	70985.737	46203.857	52384.178	unknown
173	400209.215	502840.45	506331.96	373510.972	377069.988	345243.332	196845.858	151541.793	184951.287	179883.474	118909.818	130064.615	D-Glyceric acid
174	58071.334	51099.541	65043.127	0	0	0	0	0	0	0	0	0	Analyte 177
175	0	0	0	13726.108	12925.818	12125.528	0	0	0	0	0	0	"2,2-Dimethylsuccinic Acid"
176	0	0	0	5633.0175	5674.111	5591.924	0	0	0	0	0	0	Analyte 179
177	97488.605	110186.524	101751.852	59924.264	66821.24	57934.16	76355.453	63671.689	70734.156	49972.057	40556.497	45734.031	unknown
178	0	0	0	0	0	0	0	0	0	102362.916	60551.762	35538.919	Thymol
179	0	0	0	82372.803	89491.76	86335.047	0	0	0	0	0	0	oxamide
180	0	0	0	31462.9085	33508.582	29417.235	0	0	0	0	0	0	Analyte 183
181	0	0	0	164408.826	175254.898	151769.874	0	0	0	0	0	0	Analyte 184
182	1230494.53	1731774.79	1622252.96	1899482.65	2088789.56	1780823.82	592734.483	425487.552	642247.679	1017051.31	716702.26	750111.19	unknown
183	0	0	0	0	0	0	0	0	0	139524.895	51613.923	37140.782	Analyte 186
184	0	0	0	10534.254	6573.821	8096.974	0	0	0	0	0	0	unknown
185	0	0	0	16083.321	52625.19	49708.394	0	0	0	14901.459	19269.824	22625.433	uracil
186	0	0	0	29906.914	37045.039	31836.003	0	0	0	0	0	0	Analyte 189
187	31989.688	29839.868	34139.508	0	0	0	46966.393	30630.406	47247.692	28974.083	24000.044	35088.347	Analyte 190
188	0	0	0	37483.197	38950.675	55007.147	0	0	0	0	0	0	Analyte 191
189	22696.916	43452.373	33533.734	0	0	0	0	0	0	73008.085	44708.486	45737.288	picolinic acid
190	52660.656	31837.908	42249.282	35872.666	32861.211	27972.592	34644.47	23246.905	20558.025	33603.393	21336.778	26364.499	Itaconic acid
191	40310.396	62463.653	70380.423	212835.05	254360.233	191292.251	0	0	0	94534.591	54500.642	57019.79	Analyte 194
192	55543.482	78395.456	77742.352	27106.742	38707.221	28011.2	24970.938	20235.705	22612.43	50143.274	38794.289	44283.152	fumaric acid
193	0	0	0	53025.332	54473.132	49833.091	0	0	0	0	0	0	unknown
194	0	0	0	0	0	0	0	0	0	13999.281	40211.247	55238.254	serine 1
195	0	0	0	48850.296	59361.47	57410.334	0	0	0	0	0	0	Analyte 198
196	120161.431	258009.057	241342.347	199546.721	245615.339	240668.545	230569.347	215615.988	291107.318	0	0	0	"2,3-Dimethylsuccinic acid"
197	26137.742	71490.831	72110.985	32301.337	35489.475	33928.077	30468.862	26431.631	32392.302	50331.814	36633.758	40135.503	unknown
198	0	0	0	204394.238	221761.915	253087.328	0	0	0	0	0	0	3-Hydroxynorvaline 2
199	858622.766	1183265.39	1283226.78	2961440.62	2978424.66	2387545.53	373075.68	390480.393	476413.127	11195631.9	9312172.53	10592783.1	cyclohexylamine
200	63590.653	83353.188	77553.301	154802.933	134066.239	144434.586	78738.054	57614.529	83447.525	0	0	0	Pelargonic acid
201	0	0	0	718686.6	788338.343	641281.3	0	0	0	144409.684	111993.194	143667.355	unknown
202	38272.361	44180.747	53130.529	56220.39	51304.098	53491.622	50667.467	53024.614	59454.975	61020.384	57572.71	76419.181	unknown
203	23601.993	34662.941	29541.412	41598.469	59232.315	51492.451	29651.124	21169.511	30484.224	36309.806	24568.931	33586.721	Analyte 206
204	0	0	0	96040.939	103499.278	94671.186	0	0	0	0	0	0	N-Acetyl-beta-alanine 1
205	0	0	0	28580.2605	25695.84	31464.681	0	0	0	25340.415	29432.476	40150.511	threonine 1
206	42630.3245	46009.396	39251.253	71551.851	92895.878	97689.819	0	0	0	82540.236	60137.757	73925.567	Aminooxyacetic acid
207	742011.222	811727.668	780234.062	6239511.7	6406566.04	5412559.14	427826.303	246610.707	411340.138	1409803.37	987700.688	1011464.86	Analyte 210
208	36330.7425	38309.828	34351.657	396566.551	403701.416	396842.489	21588.151	16166.063	17953.586	44886.967	31458.515	32780.827	Analyte 211
209	0	0	0	89789.38	102884.77	107832.481	0	0	0	0	0	0	unknown
210	0	0	0	74908.983	77961.919	85637.697	0	0	0	0	0	0	Analyte 213
211	172311.768	212157.288	197309.029	573571.014	587253.773	562487.949	201939.277	140391.187	197680.916	605491.071	416893.403	448645.792	Tartronic acid
212	0	0	0	11897.067	11830.671	12529.276	0	0	0	0	0	0	Analyte 215
213	0	0	0	150657.008	157123.125	140534.9	0	0	0	0	0	0	Analyte 216
214	0	0	0	15190.45	19068.489	23252.098	0	0	0	0	0	0	Analyte 217
215	0	0	0	217414.659	282349.792	207325.783	0	0	0	0	0	0	2-methylfumarate
216	7640.805	11194.565	11102.699	408043.717	431579.748	383739.134	0	0	0	46817.276	38210.882	29604.488	unknown
217	60702.239	69417.009	51987.469	70990.005	65892.784	87837.904	100597.493	80997.859	98480.221	0	0	0	unknown
218	36036.5535	36552.495	35520.612	51758.363	54509.725	49142.45	16466.603	14140.162	15303.3825	42438.427	30387.796	28252.021	Glutaric Acid
219	11301.1985	10976.282	11626.115	17357.445	18607.214	18003.202	0	0	0	0	0	0	Analyte 223
220	0	0	0	24404.097	25455.444	25663.149	0	0	0	0	0	0	DL-Anabasine 1
221	9848.572	14725.668	13515.839	0	0	0	9011.037	9422.571	14228.904	23720.866	17562.193	22298.109	hydroquinone
222	13945.711	16188.692	17880.625	48244.579	39934.911	27362.947	234.537	1122.236	839.185	54109.094	31196.586	35128.662	2-Methylglutaric Acid
223	7844.983	12117.103	11084.832	0	0	0	0	0	0	44885.033	31605.98	34342.569	Analyte 227
224	0	0	0	31096.476	35267.656	38858.944	0	0	0	0	0	0	Analyte 228
